subcategorys_id	subcategorys_name	categorys_id	register_time	register_person	update_time	update_person	subcategorys_show
1	果実酒	1	2020-12-07 12:00:00	Admin			t
2	日本酒	1	2020-12-07 12:00:00	Admin			t
3	焼酎	1	2020-12-07 12:00:00	Admin			t
4	その他	1	2020-12-07 12:00:00	Admin			t
5	お茶	2	2020-12-07 12:00:00	Admin			t
6	ジュース	2	2020-12-07 12:00:00	Admin			t
7	その他	2	2020-12-07 12:00:00	Admin			t
8	穀物	3	2020-12-07 12:00:00	Admin			t
9	果実	3	2020-12-07 12:00:00	Admin			t
10	野菜	3	2020-12-07 12:00:00	Admin			t
11	その他	3	2020-12-07 12:00:00	Admin			t
12	魚介類	4	2020-12-07 12:00:00	Admin			t
13	海藻類	4	2020-12-07 12:00:00	Admin			t
14	その他	4	2020-12-07 12:00:00	Admin			t
16	惣菜	6	2020-12-07 12:00:00	Admin			t
17	調味料	6	2020-12-07 12:00:00	Admin			t
18	ごはんの友	6	2020-12-07 12:00:00	Admin			t
19	麺類	6	2020-12-07 12:00:00	Admin			t
20	その他	6	2020-12-07 12:00:00	Admin			t
21	和菓子	5	2020-12-07 12:00:00	Admin			t
22	洋菓子	5	2020-12-07 12:00:00	Admin			t
23	その他	5	2020-12-07 12:00:00	Admin			t
24	布製品	7	2020-12-07 12:00:00	Admin			f
25	キャラクターグッズ	7	2020-12-07 12:00:00	Admin			f
26	その他	7	2020-12-07 12:00:00	Admin			t