citys_id;citys_name;area_id;register_time;register_person;update_time;update_person;citys_show
1;徳島市;1;2020-12-06 15:40:00;Admin;;;t
2;鳴門市;1;2020-12-06 15:40:00;Admin;;;t
3;小松島市;1;2020-12-06 15:40:00;Admin;;;t
4;阿波市;1;2020-12-06 15:40:00;Admin;;;t
5;吉野川市;1;2020-12-06 15:40:00;Admin;;;t
6;松茂町;1;2020-12-06 15:40:00;Admin;;;t
7;北島町;1;2020-12-06 15:40:00;Admin;;;t
8;藍住町;1;2020-12-06 15:40:00;Admin;;;t
9;板野町;1;2020-12-06 15:40:00;Admin;;;t
10;上板町;1;2020-12-06 15:40:00;Admin;;;t
11;石井町;1;2020-12-06 15:40:00;Admin;;;t
12;神山町;1;2020-12-06 15:40:00;Admin;;;t
13;佐那河内村;1;2020-12-06 15:40:00;Admin;;;t
14;上勝町;1;2020-12-06 15:40:00;Admin;;;t
15;勝浦町;1;2020-12-06 15:40:00;Admin;;;t
16;阿南市;2;2020-12-06 15:40:00;Admin;;;t
17;那賀町;2;2020-12-06 15:40:00;Admin;;;t
18;美波町;2;2020-12-06 15:40:00;Admin;;;t
19;牟岐町;2;2020-12-06 15:40:00;Admin;;;t
20;海陽町;2;2020-12-06 15:40:00;Admin;;;t
21;三好市;3;2020-12-06 15:40:00;Admin;;;t
22;美馬市;3;2020-12-06 15:40:00;Admin;;;t
23;東みよし町;3;2020-12-06 15:40:00;Admin;;;t
24;つるぎ町;3;2020-12-06 15:40:00;Admin;;;t